Filename,Reference,mstrain,bstrain,bclone,mouse,week,organ,unswitched,amplification,pyridostatin
/path/to/reads/B31SCID_W1Blood_C2M1.fasta,B31,SCID,B31,GCB2958,1,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C2M2.fasta,B31,SCID,B31,GCB2958,2,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C2M3.fasta,B31,SCID,B31,GCB2958,3,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C3M1.fasta,B31,SCID,B31,GCB2959,1,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C3M2.fasta,B31,SCID,B31,GCB2959,2,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C3M3.fasta,B31,SCID,B31,GCB2959,3,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C4M1.fasta,B31,SCID,B31,GCB2960,1,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C4M2.fasta,B31,SCID,B31,GCB2960,2,1,blood,0,phusion,
/path/to/reads/B31SCID_W1Blood_C4M3.fasta,B31,SCID,B31,GCB2960,3,1,blood,0,phusion,
/path/to/reads/B31SCID_W2Ear_C2M1.fasta,B31,SCID,B31,GCB2958,1,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C2M2.fasta,B31,SCID,B31,GCB2958,2,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C2M3.fasta,B31,SCID,B31,GCB2958,3,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C3M1.fasta,B31,SCID,B31,GCB2959,1,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C3M2.fasta,B31,SCID,B31,GCB2959,2,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C3M3.fasta,B31,SCID,B31,GCB2959,3,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C4M1.fasta,B31,SCID,B31,GCB2960,1,2,ear,0,phusion,
/path/to/reads/B31SCID_W2Ear_C4M3.fasta,B31,SCID,B31,GCB2960,3,2,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C2M1.fasta,B31,SCID,B31,GCB2958,1,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C2M2.fasta,B31,SCID,B31,GCB2958,2,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C2M3.fasta,B31,SCID,B31,GCB2958,3,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C3M1.fasta,B31,SCID,B31,GCB2959,1,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C3M2.fasta,B31,SCID,B31,GCB2959,2,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C3M3.fasta,B31,SCID,B31,GCB2959,3,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C4M2.fasta,B31,SCID,B31,GCB2960,2,3,ear,0,phusion,
/path/to/reads/B31SCID_W3Ear_C4M3.fasta,B31,SCID,B31,GCB2960,3,3,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C2M1.fasta,B31,SCID,B31,GCB2958,1,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C2M2.fasta,B31,SCID,B31,GCB2958,2,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C2M3.fasta,B31,SCID,B31,GCB2958,3,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C3M1.fasta,B31,SCID,B31,GCB2959,1,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C3M2.fasta,B31,SCID,B31,GCB2959,2,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C3M3.fasta,B31,SCID,B31,GCB2959,3,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C4M1.fasta,B31,SCID,B31,GCB2960,1,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C4M2.fasta,B31,SCID,B31,GCB2960,2,4,ear,0,phusion,
/path/to/reads/B31SCID_W4Ear_C4M3.fasta,B31,SCID,B31,GCB2960,3,4,ear,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C2M1.fasta,B31,SCID,B31,GCB2958,1,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C2M2.fasta,B31,SCID,B31,GCB2958,2,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C2M3.fasta,B31,SCID,B31,GCB2958,3,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C3M1.fasta,B31,SCID,B31,GCB2959,1,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C3M2.fasta,B31,SCID,B31,GCB2959,2,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C3M3.fasta,B31,SCID,B31,GCB2959,3,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C4M1.fasta,B31,SCID,B31,GCB2960,1,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C4M2.fasta,B31,SCID,B31,GCB2960,2,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Bladder_C4M3.fasta,B31,SCID,B31,GCB2960,3,5,bladder,0,phusion,
/path/to/reads/B31SCID_W5Culture.fasta,B31,,B31,mixture,,5,culture,0,phusion,
/path/to/reads/B31SCID_W5Ear_C2M1.fasta,B31,SCID,B31,GCB2958,1,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C2M2.fasta,B31,SCID,B31,GCB2958,2,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C2M3.fasta,B31,SCID,B31,GCB2958,3,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C3M1.fasta,B31,SCID,B31,GCB2959,1,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C3M2.fasta,B31,SCID,B31,GCB2959,2,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C3M3.fasta,B31,SCID,B31,GCB2959,3,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C4M1.fasta,B31,SCID,B31,GCB2960,1,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Ear_C4M2.fasta,B31,SCID,B31,GCB2960,2,5,ear,0,phusion,
/path/to/reads/B31SCID_W5Heart_C2M1.fasta,B31,SCID,B31,GCB2958,1,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C2M2.fasta,B31,SCID,B31,GCB2958,2,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C2M3.fasta,B31,SCID,B31,GCB2958,3,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C3M1.fasta,B31,SCID,B31,GCB2959,1,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C3M2.fasta,B31,SCID,B31,GCB2959,2,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C3M3.fasta,B31,SCID,B31,GCB2959,3,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C4M1.fasta,B31,SCID,B31,GCB2960,1,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Heart_C4M2.fasta,B31,SCID,B31,GCB2960,2,5,heart,0,phusion,
/path/to/reads/B31SCID_W5Joint_C2M1.fasta,B31,SCID,B31,GCB2958,1,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C2M3.fasta,B31,SCID,B31,GCB2958,3,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C3M1.fasta,B31,SCID,B31,GCB2959,1,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C3M2.fasta,B31,SCID,B31,GCB2959,2,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C3M3.fasta,B31,SCID,B31,GCB2959,3,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C4M1.fasta,B31,SCID,B31,GCB2960,1,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C4M2.fasta,B31,SCID,B31,GCB2960,2,5,joint,0,phusion,
/path/to/reads/B31SCID_W5Joint_C4M3.fasta,B31,SCID,B31,GCB2960,3,5,joint,0,phusion,
/path/to/reads/B31_10P_0uM.fasta,B31,,B31,mixture,,0,,0,phusion,0
/path/to/reads/B31_Insert.fasta,B31,,B31,GCB2958,,0,,1,insert,
/path/to/reads/B31_P10_10uM.fasta,B31,,B31,mixture,,0,,0,phusion,10
/path/to/reads/B31_P10_30uM.fasta,B31,,B31,mixture,,0,,0,phusion,30
/path/to/reads/B31_Phusion.fasta,B31,,B31,GCB2958,,0,,1,phusion,
/path/to/reads/B31_Q5.fasta,B31,,B31,GCB2958,,0,,1,q5,
/path/to/reads/B31_W0_Clone2.fasta,B31,,B31,GCB2958,,0,,1,phusion,
/path/to/reads/B31_W0_Clone3.fasta,B31,,B31,GCB2959,,0,,1,phusion,
/path/to/reads/B31_W0_Clone4.fasta,B31,,B31,GCB2960,,0,,1,phusion,
/path/to/reads/B31_W1Blood_C2M1.fasta,B31,WT,B31,GCB2958,1,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C2M2.fasta,B31,WT,B31,GCB2958,2,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C2M3.fasta,B31,WT,B31,GCB2958,3,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C3M1.fasta,B31,WT,B31,GCB2959,1,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C3M2.fasta,B31,WT,B31,GCB2959,2,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C3M3.fasta,B31,WT,B31,GCB2959,3,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C4M1.fasta,B31,WT,B31,GCB2960,1,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C4M2.fasta,B31,WT,B31,GCB2960,2,1,blood,0,phusion,
/path/to/reads/B31_W1Blood_C4M3.fasta,B31,WT,B31,GCB2960,3,1,blood,0,phusion,
/path/to/reads/B31_W2Ear_C2M1.fasta,B31,WT,B31,GCB2958,1,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C2M2.fasta,B31,WT,B31,GCB2958,2,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C2M3.fasta,B31,WT,B31,GCB2958,3,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C3M1.fasta,B31,WT,B31,GCB2959,1,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C3M2.fasta,B31,WT,B31,GCB2959,2,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C3M3.fasta,B31,WT,B31,GCB2959,3,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C4M1.fasta,B31,WT,B31,GCB2960,1,2,ear,0,phusion,
/path/to/reads/B31_W2Ear_C4M2.fasta,B31,WT,B31,GCB2960,2,2,ear,0,phusion,
/path/to/reads/B31_W3Ear_C2M1.fasta,B31,WT,B31,GCB2958,1,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C2M2.fasta,B31,WT,B31,GCB2958,2,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C2M3.fasta,B31,WT,B31,GCB2958,3,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C3M1.fasta,B31,WT,B31,GCB2959,1,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C3M2.fasta,B31,WT,B31,GCB2959,2,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C3M3.fasta,B31,WT,B31,GCB2959,3,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C4M1.fasta,B31,WT,B31,GCB2960,1,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C4M2.fasta,B31,WT,B31,GCB2960,2,3,ear,0,phusion,
/path/to/reads/B31_W3Ear_C4M3.fasta,B31,WT,B31,GCB2960,3,3,ear,0,phusion,
/path/to/reads/B31_W4Ear_C2M1.fasta,B31,WT,B31,GCB2958,1,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C2M2.fasta,B31,WT,B31,GCB2958,2,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C2M3.fasta,B31,WT,B31,GCB2958,3,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C3M2.fasta,B31,WT,B31,GCB2959,2,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C3M3.fasta,B31,WT,B31,GCB2959,3,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C4M1.fasta,B31,WT,B31,GCB2960,1,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C4M2.fasta,B31,WT,B31,GCB2960,2,4,ear,0,phusion,
/path/to/reads/B31_W4Ear_C4M3.fasta,B31,WT,B31,GCB2960,3,4,ear,0,phusion,
/path/to/reads/B31_W5Bladder_C2M1.fasta,B31,WT,B31,GCB2958,1,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C2M2.fasta,B31,WT,B31,GCB2958,2,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C2M3.fasta,B31,WT,B31,GCB2958,3,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C3M1.fasta,B31,WT,B31,GCB2959,1,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C3M2.fasta,B31,WT,B31,GCB2959,2,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C3M3.fasta,B31,WT,B31,GCB2959,3,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C4M1.fasta,B31,WT,B31,GCB2960,1,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C4M2.fasta,B31,WT,B31,GCB2960,2,5,bladder,0,phusion,
/path/to/reads/B31_W5Bladder_C4M3.fasta,B31,WT,B31,GCB2960,3,5,bladder,0,phusion,
/path/to/reads/B31_W5Ear_C2M1.fasta,B31,WT,B31,GCB2958,1,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C2M2.fasta,B31,WT,B31,GCB2958,2,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C2M3.fasta,B31,WT,B31,GCB2958,3,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C3M1.fasta,B31,WT,B31,GCB2959,1,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C3M2.fasta,B31,WT,B31,GCB2959,2,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C3M3.fasta,B31,WT,B31,GCB2959,3,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C4M1.fasta,B31,WT,B31,GCB2960,1,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C4M2.fasta,B31,WT,B31,GCB2960,2,5,ear,0,phusion,
/path/to/reads/B31_W5Ear_C4M3.fasta,B31,WT,B31,GCB2960,3,5,ear,0,phusion,
/path/to/reads/B31_W5Heart_C2M1.fasta,B31,WT,B31,GCB2958,1,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C2M2.fasta,B31,WT,B31,GCB2958,2,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C2M3.fasta,B31,WT,B31,GCB2958,3,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C3M1.fasta,B31,WT,B31,GCB2959,1,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C3M2.fasta,B31,WT,B31,GCB2959,2,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C3M3.fasta,B31,WT,B31,GCB2959,3,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C4M1.fasta,B31,WT,B31,GCB2960,1,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C4M2.fasta,B31,WT,B31,GCB2960,2,5,heart,0,phusion,
/path/to/reads/B31_W5Heart_C4M3.fasta,B31,WT,B31,GCB2960,3,5,heart,0,phusion,
/path/to/reads/B31_W5Joint_C2M1.fasta,B31,WT,B31,GCB2958,1,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C2M2.fasta,B31,WT,B31,GCB2958,2,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C2M3.fasta,B31,WT,B31,GCB2958,3,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C3M1.fasta,B31,WT,B31,GCB2959,1,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C3M2.fasta,B31,WT,B31,GCB2959,2,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C3M3.fasta,B31,WT,B31,GCB2959,3,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C4M1.fasta,B31,WT,B31,GCB2960,1,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C4M2.fasta,B31,WT,B31,GCB2960,2,5,joint,0,phusion,
/path/to/reads/B31_W5Joint_C4M3.fasta,B31,WT,B31,GCB2960,3,5,joint,0,phusion,
/path/to/reads/JD1_Insert.fasta,JD1,,JD1,GCB2485,,0,,1,insert,
/path/to/reads/JD1_Phusion.fasta,JD1,,JD1,GCB2485,,0,,1,phusion,
/path/to/reads/JD1_Q5.fasta,JD1,,JD1,GCB2485,,0,,1,q5,
/path/to/reads/Kan_Insert.fasta,kanR,,,,,,,1,insert,
/path/to/reads/Kan_Phusion.fasta,kanR,,,,,,,1,phusion,
/path/to/reads/Kan_Q5.fasta,kanR,,,,,,,1,q5,
